"552844762	20150623	201506	2015	2015.4740											GOV	PRESIDENT						GOV			1	173	173	17	4	-5.0	10	1	10	0.52083333333334	0								4	Sanaa", Sana'," Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	4	Sanaa", Sana'," Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	20160622151500	http://www.middleeasteye.net/news/yemens-houthis-challenge-un-peace-deal-demanding-unity-president-2076774143",,,,,
"552844763	20150623	201506	2015	2015.4740	ARM	ARMENIA	ARM																		1	010	010	01	1	0.0	3	1	3	-4	4	Philippine", Benguet," Philippines	RP	RP10	24213	16.45	120.55	-2445611	0								4	Philippine", Benguet," Philippines	RP	RP10	24213	16.45	120.55	-2445611	20160622151500	http://www.philippinetimes.com/index.php/sid/245192897",,,,,
"552844764	20150623	201506	2015	2015.4740	CHE	SWISS	CHE								MOS	ISLAMIC				MOS					0	046	046	04	1	7.0	2	1	2	-6.266318537859	4	Geneva", Genè," Switzerland	SZ	SZ07	16329	46.1956	6.14811	-2552151	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20160622151500	http://www.turkishweekly.net/2016/06/22/news/government-to-strengthen-anti-terrorism-measures/",,,,,,,
"552844765	20150623	201506	2015	2015.4740	CHN	SHANGHAI	CHN								UZB	TASHKENT	UZB								1	040	040	04	1	1.0	1	1	1	-1.94805194805195	4	New Delhi", Delhi," India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi", Delhi," India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi", Delhi," India	IN	IN07	17911	28.6	77.2	-2106102	20160622151500	http://www.shanghaisun.com/index.php/sid/245193059",,,
"552844766	20150623	201506	2015	2015.4740	CHRCTH	THE POPE				CHR	CTH				CRM	WHORE						CRM			0	026	026	02	1	4.0	6	1	6	-7.2855464159812	4	Manila", Manila," Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila", Manila," Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila", Manila," Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20160622151500	http://www.asiasentinel.com/politics/police-philippine-president-duterte-death-criminals/",,,
"552844767	20150623	201506	2015	2015.4740	CRM	WHORE						CRM			PHL	PHILIPPINE	PHL								0	026	026	02	1	4.0	4	1	4	-7.2855464159812	4	Manila", Manila," Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila", Manila," Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila", Manila," Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20160622151500	http://www.asiasentinel.com/politics/police-philippine-president-duterte-death-criminals/",,,
"552844768	20150623	201506	2015	2015.4740	CVL	CITIZEN						CVL			GOV	ADMINISTRATION						GOV			1	130	130	13	3	-4.4	24	1	24	0.517771040632021	4	London", London, City of," United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Bucharest", Bucuresti," Romania	RO	RO10	25006	44.4333	26.1	-1153951	4	Bucharest", Bucuresti," Romania	RO	RO10	25006	44.4333	26.1	-1153951	20160622151500	http://www.romaniapress.com/news-10069804.html",,
"552844769	20150623	201506	2015	2015.4740	DNK	DENMARK	DNK								SYR	SYRIA	SYR								1	043	043	04	1	2.8	1	1	1	-4.27350427350427	4	Copenhagen", Køavn*," Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	Copenhagen", Køavn*," Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	Copenhagen", Køavn*," Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	20160622151500	http://wjtv.com/ap/denmark-finds-man-guilty-of-traveling-to-syria-to-join-is/",,,
"552844770	20150623	201506	2015	2015.4740	DNK	DENMARK	DNK								SYR	SYRIA	SYR								1	043	043	04	1	2.8	1	1	1	-4.27350427350427	4	Copenhagen", Køavn*," Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20160622151500	http://wjtv.com/ap/denmark-finds-man-guilty-of-traveling-to-syria-to-join-is/",,,,,,,
"552844771	20150623	201506	2015	2015.4740	EDU	STUDENT						EDU													0	120	120	12	3	-4.0	10	1	10	1.12554112554112	2	North Carolina"," United States	US	USNC		35.6411	-79.8431	NC	0								2	North Carolina"," United States	US	USNC		35.6411	-79.8431	NC	20160622151500	http://www.wral.com/senate-budget-would-vastly-expand-school-voucher-program/15798079/",,,,,,,
"552844772	20150623	201506	2015	2015.4740	EDU	SCHOOL						EDU			USAEDU	INDIANA	USA					EDU			0	043	043	04	1	2.8	6	1	6	1.12554112554112	2	Indiana"," United States	US	USIN		39.8647	-86.2604	IN	2	Indiana"," United States	US	USIN		39.8647	-86.2604	IN	2	Indiana"," United States	US	USIN		39.8647	-86.2604	IN	20160622151500	http://www.wral.com/senate-budget-would-vastly-expand-school-voucher-program/15798079/",,,,,,
"552844773	20150623	201506	2015	2015.4740	GBR	BRITON	GBR								GOV	ADMINISTRATION						GOV			1	130	130	13	3	-4.4	24	1	24	0.517771040632021	4	London", London, City of," United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Bucharest", Bucuresti," Romania	RO	RO10	25006	44.4333	26.1	-1153951	4	Bucharest", Bucuresti," Romania	RO	RO10	25006	44.4333	26.1	-1153951	20160622151500	http://www.romaniapress.com/news-10069804.html",,
