"667143663	20160622	201606	2016	2016.4712											FRA	FRENCH	FRA								1	057	057	05	1	8.0	2	2	2	5.68379250434351	0								1	France	FR	FR		46	2	FR	4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	20170622104500	http://www.indialivetoday.com/nsdc-schneider-039-s-039-centre-of-excellence-039-to-strengthen-renewable-energy-sector/169204.html",,,,,,,
"667143664	20160622	201606	2016	2016.4712											FRAGOVEDU	FRENCH	FRA					GOV	EDU		1	057	057	05	1	8.0	12	2	12	5.68379250434351	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20170622104500	http://www.indialivetoday.com/nsdc-schneider-039-s-039-centre-of-excellence-039-to-strengthen-renewable-energy-sector/169204.html",,,,,,,,,
"667143665	20160622	201606	2016	2016.4712											GBR	LIVERPOOL	GBR								1	043	043	04	1	2.8	7	1	7	-0.298507462686567	0								4	Shenfield", Essex," United Kingdom	UK	UKE4	40110	51.6167	0.316667	-2607597	4	Shenfield", Essex," United Kingdom	UK	UKE4	40110	51.6167	0.316667	-2607597	20170622104500	http://www.cityam.com/266912/crossrails-first-elizabeth-line-train-enters-passenger",,,,,
"667143666	20160622	201606	2016	2016.4712	EDU	SCHOOL						EDU			GBR	UNITED KINGDOM	GBR								0	020	020	02	1	3.0	1	1	1	2.92307692307693	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	20170622104500	http://www.ibtimes.com/will-there-be-no-king-or-queen-after-elizabeth-ii-prince-harry-says-no-one-wants-wear-2555912",,,
"667143667	20160622	201606	2016	2016.4712	EDU	SCHOOL						EDU			GOV	PRINCE						GOV			0	020	020	02	1	3.0	2	1	2	2.92307692307693	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	20170622104500	http://www.ibtimes.com/will-there-be-no-king-or-queen-after-elizabeth-ii-prince-harry-says-no-one-wants-wear-2555912",,,
"667143668	20160622	201606	2016	2016.4712	EDU	SCHOOL						EDU			GOV	KING						GOV			0	042	042	04	1	1.9	4	1	4	2.92307692307693	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	4	Berkshire", United Kingdom (general)," United Kingdom	UK	UK00	40127	51.5	-1.25	-2589736	20170622104500	http://www.ibtimes.com/will-there-be-no-king-or-queen-after-elizabeth-ii-prince-harry-says-no-one-wants-wear-2555912",,,
"667143669	20160622	201606	2016	2016.4712	EDU	SCHOOL						EDU			SLE	SIERRA LEONE	SLE								0	100	100	10	3	-5.0	10	1	10	-4.83091787439614	1	Sierra Leone	SL	SL		8.5	-11.5	SL	1	Sierra Leone	SL	SL		8.5	-11.5	SL	1	Sierra Leone	SL	SL		8.5	-11.5	SL	20170622104500	http://politicosl.com/articles/law-school-spotlight-again",,,,,,,,,
"667143670	20160622	201606	2016	2016.4712	FRA	FRENCH	FRA																		1	057	057	05	1	8.0	2	1	2	5.88235294117647	4	Delhi", Delhi," India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi", Delhi," India	IN	IN07	17911	28.6667	77.2167	-2094230	20170622104500	http://www.outlookindia.com/newsscroll/nsdc-schneiders-centre-of-excellence-to-strengthen-renewable-energy-sector/1081774",,,,,
"667143671	20160622	201606	2016	2016.4712	FRA	FRENCH	FRA																		1	057	057	05	1	8.0	2	1	2	5.48523206751055	4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	0								4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	20170622104500	http://www.indialivetoday.com/nsdc-schneider-039-s-039-centre-of-excellence-039-to-strengthen-renewable-energy-sector/169204.html",,,,,
"667143672	20160622	201606	2016	2016.4712	FRA	FRENCH	FRA								FRAGOVEDU	FRANCE	FRA					GOV	EDU		1	057	057	05	1	8.0	2	1	2	5.88235294117647	4	Delhi", Delhi," India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi", Delhi," India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi", Delhi," India	IN	IN07	17911	28.6667	77.2167	-2094230	20170622104500	http://www.outlookindia.com/newsscroll/nsdc-schneiders-centre-of-excellence-to-strengthen-renewable-energy-sector/1081774",,,
"667143673	20160622	201606	2016	2016.4712	FRA	FRENCH	FRA								FRAGOVEDU	FRANCE	FRA					GOV	EDU		1	057	057	05	1	8.0	2	1	2	5.48523206751055	4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	20170622104500	http://www.indialivetoday.com/nsdc-schneider-039-s-039-centre-of-excellence-039-to-strengthen-renewable-energy-sector/169204.html",,,
"667143674	20160622	201606	2016	2016.4712	FRAGOVEDU	FRENCH	FRA					GOV	EDU												1	057	057	05	1	8.0	6	1	6	5.88235294117647	4	Delhi", Delhi," India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi", Delhi," India	IN	IN07	17911	28.6667	77.2167	-2094230	20170622104500	http://www.outlookindia.com/newsscroll/nsdc-schneiders-centre-of-excellence-to-strengthen-renewable-energy-sector/1081774",,,,,
"667143675	20160622	201606	2016	2016.4712	FRAGOVEDU	FRENCH	FRA					GOV	EDU												1	057	057	05	1	8.0	6	1	6	5.48523206751055	4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	0								4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	20170622104500	http://www.indialivetoday.com/nsdc-schneider-039-s-039-centre-of-excellence-039-to-strengthen-renewable-energy-sector/169204.html",,,,,
"667143676	20160622	201606	2016	2016.4712	FRAGOVEDU	FRANCE	FRA					GOV	EDU		FRA	FRENCH	FRA								1	057	057	05	1	8.0	2	2	2	5.68379250434351	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	4	Jaipur", Rajasthan," India	IN	IN24	17847	26.9167	75.8167	-2098033	20170622104500	http://www.indialivetoday.com/nsdc-schneider-039-s-039-centre-of-excellence-039-to-strengthen-renewable-energy-sector/169204.html",,,,,,,
"667143677	20160622	201606	2016	2016.4712	FRAGOVEDU	FRANCE	FRA					GOV	EDU		FRA	FRENCH	FRA								1	057	057	05	1	8.0	2	2	2	5.68379250434351	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20170622104500	http://www.indialivetoday.com/nsdc-schneider-039-s-039-centre-of-excellence-039-to-strengthen-renewable-energy-sector/169204.html",,,,,,,,,
"667143678	20160622	201606	2016	2016.4712	GBR	UNITED KINGDOM	GBR																		1	020	020	02	1	3.0	2	1	2	0.45662100456621	4	Leicester", Leicester," United Kingdom	UK	UKH4	40124	52.6333	-1.13333	-2600961	0								4	Manchester", Manchester," United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20170622104500	http://nigerianpilot.com/leicester-city-plan-25m-deal-for-iheanacho/",,,,,
